ietf109-team                  	         2
tzdist-bis                    	         2
ntpwg                         	         2
new-wg-docs                   	         2
clue                          	         2
modern                        	         2
http-state                    	         2
rfc-dist                      	         2
sipping                       	         2
xmpp                          	         2
dbound                        	         2
sandbox-mailoutput            	         2
link-relations                	         2
nethistory                    	         2
quic-issues                   	         2
ldapext                       	         2
lln-futures                   	         2
mipshop                       	         2
ietf-surveys                  	         1
rfp-announce                  	         1
caris-attendees               	         1
emserv-discuss                	         1
inip-discuss                  	         1
iotsi                         	         1
marnew                        	         1
privsec-discuss               	         1
stackevo-discuss              	         1
emo-dir                       	         1
ietf-runners                  	         1
testlist                      	         1
ops-area                      	         1
icalendar                     	         1
iesg-agenda-dist              	         1
lime                          	         1
sipbrandy                     	         1
aqm                           	         1
forces                        	         1
pppext                        	         1
softwires                     	         1
routing-discussion            	         1
ietf-nomcom                   	         1
precis                        	         1
ipr-announce                  	         1
ham-ag                        	         1
ietf-privacy                  	         1
dtls-iot                      	         1
gsmp                          	         1
hybi                          	         1
qlog                          	         1
ietf-message-headers          	         1
netext                        	         1
newsclips                     	         1
sidr                          	         1
