lager                         	         3	23.08
smime                         	         1	7.69
asap                          	         1	9.09
ima                           	         2	18.18
tictoc                        	         1	9.09
sieve                         	         1	10.00
dnsext                        	         1	11.11
geojson                       	         9	100.00
gsmp                          	         9	100.00
109-newcomers                 	         1	12.50
mentoring-coordinators        	         5	62.50
dane                          	         1	14.29
isms                          	         3	42.86
internetgovtech               	         2	40.00
lln-futures                   	         4	80.00
medup                         	         1	20.00
nethistory                    	         1	20.00
core-parameters               	         2	50.00
vcarddav                      	         2	50.00
dtn-interest                  	         2	66.67
rohc                          	         1	33.33
http-state                    	         1	50.00
ldapext                       	         2	100.00
mipshop                       	         1	50.00
tzdist-bis                    	         1	50.00
sidr                          	         1	100.00
