apn                           	        61	0.05%
maprg                         	        60	0.05%
6gip                          	        57	0.04%
tcpprague                     	        57	0.04%
tools-arch                    	        56	0.04%
jose                          	        55	0.04%
ieee-ietf-coord               	        55	0.04%
urn                           	        54	0.04%
5gangip                       	        53	0.04%
gaia                          	        50	0.04%
manet                         	        50	0.04%
multipathtcp                  	        50	0.04%
blockchain-interop            	        49	0.04%
ice                           	        49	0.04%
webdav                        	        49	0.04%
iesg-agenda-dist              	        49	0.04%
edm                           	        46	0.03%
etosat                        	        46	0.03%
behave                        	        44	0.03%
admin-discuss                 	        43	0.03%
pals                          	        39	0.03%
teas-3272bis-design-team      	        38	0.03%
madinas                       	        37	0.03%
json                          	        37	0.03%
mtgvenue                      	        34	0.03%
bfcpbis                       	        34	0.03%
edu-team                      	        33	0.02%
ietf-dkim                     	        33	0.02%
din                           	        32	0.02%
covidimpacts-workshop         	        30	0.02%
bimi                          	        30	0.02%
tsv-area                      	        29	0.02%
oauth-ext-review              	        29	0.02%
ledger                        	        29	0.02%
107all                        	        28	0.02%
newsclips                     	        28	0.02%
109all                        	        27	0.02%
cdni                          	        27	0.02%
irtf-discuss                  	        25	0.02%
108all                        	        24	0.02%
mile                          	        24	0.02%
chirp                         	        23	0.02%
doh                           	        22	0.02%
imapext                       	        22	0.02%
enum                          	        21	0.02%
jwt-reg-review                	        20	0.02%
cwt-reg-review                	        20	0.02%
pidloc                        	        19	0.01%
dime                          	        19	0.01%
recentattendees               	        18	0.01%
3gpp-ietf-coord               	        18	0.01%
spfbis                        	        18	0.01%
http-grease                   	        17	0.01%
it-test                       	        17	0.01%
perc                          	        17	0.01%
i18n-discuss                  	        16	0.01%
abnf-discuss                  	        16	0.01%
dcrup                         	        15	0.01%
nntpext                       	        15	0.01%
iasa20                        	        14	0.01%
wellknown-uri-review          	        14	0.01%
venue-selection               	        13	0.01%
smime                         	        13	0.01%
lager                         	        13	0.01%
mcast-wifi                    	        13	0.01%
pilots-ag                     	        12	0.01%
trans                         	        12	0.01%
cacao                         	        11	0.01%
ima                           	        11	0.01%
igmp-mld-bis                  	        11	0.01%
tictoc                        	        11	0.01%
asap                          	        11	0.01%
ietf-surveys                  	        10	0.01%
smart                         	        10	0.01%
sieve                         	        10	0.01%
rdma-cc-interest              	        10	0.01%
dnsext                        	         9	0.01%
ietf109-team                  	         9	0.01%
lemonade                      	         9	0.01%
radext                        	         9	0.01%
geojson                       	         9	0.01%
gsmp                          	         9	0.01%
109-newcomers                 	         8	0.01%
mentoring-coordinators        	         8	0.01%
108-newcomers                 	         7	0.01%
wish                          	         7	0.01%
isms                          	         7	0.01%
dane                          	         7	0.01%
ietf-hub-boston               	         6	0.00%
video-codec                   	         6	0.00%
scuba-ag                      	         5	0.00%
rfp-announce                  	         5	0.00%
internetgovtech               	         5	0.00%
medup                         	         5	0.00%
nethistory                    	         5	0.00%
lln-futures                   	         5	0.00%
mailsec                       	         4	0.00%
jcardcal                      	         4	0.00%
core-parameters               	         4	0.00%
link-relations                	         4	0.00%
rtcweb                        	         4	0.00%
vcarddav                      	         4	0.00%
svt                           	         3	0.00%
rohc                          	         3	0.00%
mathmesh                      	         3	0.00%
ntpwg                         	         3	0.00%
softwires                     	         3	0.00%
dtn-interest                  	         3	0.00%
webauthn-reg-review           	         2	0.00%
trill                         	         2	0.00%
ipr-wg                        	         2	0.00%
tzdist-bis                    	         2	0.00%
clue                          	         2	0.00%
modern                        	         2	0.00%
forces                        	         2	0.00%
http-state                    	         2	0.00%
pppext                        	         2	0.00%
sipping                       	         2	0.00%
xmpp                          	         2	0.00%
dbound                        	         2	0.00%
ldapext                       	         2	0.00%
mipshop                       	         2	0.00%
caris-attendees               	         1	0.00%
emserv-discuss                	         1	0.00%
inip-discuss                  	         1	0.00%
iotsi                         	         1	0.00%
marnew                        	         1	0.00%
privsec-discuss               	         1	0.00%
stackevo-discuss              	         1	0.00%
emo-dir                       	         1	0.00%
ietf-runners                  	         1	0.00%
testlist                      	         1	0.00%
ops-area                      	         1	0.00%
icalendar                     	         1	0.00%
lime                          	         1	0.00%
sipbrandy                     	         1	0.00%
aqm                           	         1	0.00%
routing-discussion            	         1	0.00%
ietf-nomcom                   	         1	0.00%
precis                        	         1	0.00%
ham-ag                        	         1	0.00%
ietf-privacy                  	         1	0.00%
dtls-iot                      	         1	0.00%
hybi                          	         1	0.00%
qlog                          	         1	0.00%
ietf-message-headers          	         1	0.00%
netext                        	         1	0.00%
sidr                          	         1	0.00%
