ice                           	        42	0.04%
admin-discuss                 	        41	0.04%
etosat                        	        41	0.04%
tlp-interest                  	        40	0.04%
teas-3272bis-design-team      	        38	0.04%
edm                           	        37	0.04%
media-types                   	        37	0.04%
pals                          	        36	0.04%
irtf-announce                 	        35	0.04%
manet                         	        35	0.04%
madinas                       	        35	0.04%
ietf-community-india          	        33	0.03%
mtgvenue                      	        32	0.03%
json                          	        31	0.03%
bfcpbis                       	        31	0.03%
maprg                         	        30	0.03%
edu-team                      	        30	0.03%
tsv-area                      	        29	0.03%
oauth-ext-review              	        29	0.03%
covidimpacts-workshop         	        28	0.03%
din                           	        27	0.03%
gaia                          	        27	0.03%
ietf-dkim                     	        25	0.03%
ledger                        	        25	0.03%
chirp                         	        23	0.02%
bimi                          	        23	0.02%
doh                           	        21	0.02%
enum                          	        21	0.02%
irtf-discuss                  	        20	0.02%
jwt-reg-review                	        20	0.02%
cwt-reg-review                	        20	0.02%
pidloc                        	        19	0.02%
cdni                          	        18	0.02%
3gpp-ietf-coord               	        18	0.02%
dime                          	        18	0.02%
mile                          	        18	0.02%
109all                        	        17	0.02%
i18n-discuss                  	        16	0.02%
108all                        	        15	0.02%
imapext                       	        15	0.02%
dcrup                         	        15	0.02%
it-test                       	        14	0.01%
venue-selection               	        13	0.01%
iasa20                        	        13	0.01%
abnf-discuss                  	        13	0.01%
lager                         	        13	0.01%
perc                          	        12	0.01%
pilots-ag                     	        12	0.01%
trans                         	        12	0.01%
smime                         	        12	0.01%
cacao                         	        11	0.01%
igmp-mld-bis                  	        11	0.01%
http-grease                   	        11	0.01%
wellknown-uri-review          	        11	0.01%
ietf-surveys                  	        10	0.01%
smart                         	        10	0.01%
rdma-cc-interest              	        10	0.01%
107all                        	         9	0.01%
sieve                         	         9	0.01%
ima                           	         9	0.01%
ietf109-team                  	         9	0.01%
radext                        	         9	0.01%
dnsext                        	         8	0.01%
lemonade                      	         8	0.01%
asap                          	         8	0.01%
mcast-wifi                    	         8	0.01%
spfbis                        	         7	0.01%
wish                          	         6	0.01%
ietf-hub-boston               	         6	0.01%
109-newcomers                 	         6	0.01%
tictoc                        	         6	0.01%
rfp-announce                  	         5	0.01%
medup                         	         5	0.01%
dane                          	         5	0.01%
recentattendees               	         4	0.00%
jcardcal                      	         4	0.00%
