emserv-discuss                	         1
inip-discuss                  	         1
iotsi                         	         1
marnew                        	         1
privsec-discuss               	         1
stackevo-discuss              	         1
i-d-announce                  	         1
emo-dir                       	         1
ietf-runners                  	         1
testlist                      	         1
webdav                        	         1
ops-area                      	         1
icalendar                     	         1
ntpwg                         	         1
routing-discussion            	         1
aqm                           	         1
forces                        	         1
http-state                    	         1
pppext                        	         1
rfc-dist                      	         1
sipping                       	         1
softwires                     	         1
xmpp                          	         1
webauthn-reg-review           	         1
clue                          	         1
ietf-nomcom                   	         1
precis                        	         1
ham-ag                        	         1
ietf-privacy                  	         1
dtls-iot                      	         1
svt                           	         1
hybi                          	         1
qlog                          	         1
ietf-message-headers          	         1
ldapext                       	         1
ledger                        	         1
modern                        	         1
nethistory                    	         1
